repo,provider,display_name,kind,confidence,methods,evidence_count,first_evidence
sub2api,openrouter,OpenRouter,aggregator,low,vocab,2,/workspace/sub2api/backend/internal/service/gateway_usage_billing.go:771
sub2api,zai,Z.AI GLM,aggregator,low,vocab,1,/workspace/sub2api/backend/internal/service/cn_provider_quota_service.go:350
sub2api,aliyun,Alibaba Cloud,first-party,high,consts,1,/workspace/sub2api/frontend/src/views/admin/SettingsView.vue:9927
sub2api,anthropic,Anthropic,first-party,high,cases|consts|json|vocab,180,/workspace/sub2api/backend/ent/channelmonitor/channelmonitor.go:178
sub2api,ark,Volcengine Ark,first-party,medium,markdown-host,1,/workspace/sub2api/docs/seedance-api.md:7
sub2api,baidu,Baidu Qianfan,first-party,low,vocab,1,/workspace/sub2api/backend/internal/service/openai_model_mapping.go:55
sub2api,bedrock,Amazon Bedrock,first-party,high,consts|json|vocab,36,/workspace/sub2api/backend/internal/domain/constants.go:62
sub2api,dashscope,Alibaba DashScope,first-party,low,vocab,1,/workspace/sub2api/backend/internal/service/openai_gateway_cc_tool_call_identity.go:15
sub2api,deepseek,DeepSeek,first-party,high,cases|consts|json|vocab,299,/workspace/sub2api/backend/ent/channelmonitor/channelmonitor.go:184
sub2api,google,Google,first-party,high,cases|markdown-host|vocab,38,/workspace/sub2api/backend/ent/schema/auth_identity.go:20
sub2api,grok,xAI Grok,first-party,high,cases|config|consts|vocab,1295,/workspace/sub2api/README.md:68
sub2api,hunyuan,Tencent Hunyuan,first-party,low,vocab,1,/workspace/sub2api/backend/internal/service/openai_model_mapping.go:47
sub2api,kimi,Moonshot Kimi,first-party,high,cases|consts|vocab,251,/workspace/sub2api/backend/ent/channelmonitor/channelmonitor.go:182
sub2api,minimax,MiniMax,first-party,high,cases|consts|vocab,146,/workspace/sub2api/backend/ent/channelmonitor/channelmonitor.go:185
sub2api,openai,OpenAI,first-party,high,cases|consts|json|markdown|vocab,341,/workspace/sub2api/README_JA.md:63
sub2api,qwen,Alibaba Qwen,first-party,low,vocab,12,/workspace/sub2api/README.md:128
sub2api,tencent,Tencent Hunyuan,first-party,high,consts,1,/workspace/sub2api/frontend/src/views/admin/SettingsView.vue:9925
sub2api,vertex,Google Vertex AI,first-party,high,consts|json|vocab,11,/workspace/sub2api/backend/internal/service/batch_image.go:15
sub2api,volcengine,Volcengine,first-party,medium,markdown-host|vocab,3,/workspace/sub2api/docs/seedance-api.md:45
sub2api,xai,xAI,first-party,high,cases|vocab,3,/workspace/sub2api/backend/internal/pkg/xai/billing.go:16
sub2api,xfspark,iFlytek Spark,first-party,high,consts|vocab,16,/workspace/sub2api/backend/ent/account.go:82
sub2api,zhipu,Zhipu GLM,first-party,high,cases|consts|vocab,137,/workspace/sub2api/backend/ent/channelmonitor/channelmonitor.go:183
